	dataset_name	publication_string	dataset_id	dataset_version_id	collection_url	alignment_software	cell_enrichment	gene_annotation_version	institute	library_id	library_preparation_batch	library_sequencing_run	manner_of_death	reference_genome	sampled_site_condition	sample_collection_method	sample_id	sample_preservation_method	sample_source	sequenced_fragment
0	Airway	Yoshida (2022) Nature	edc8d3fe-153c-4e3d-8be0-2108d30f8d70	8d00a24f-b5aa-4a17-b002-6b440f4497f6	https://cellxgene.cziscience.com/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present	Not present
1	PBMC	Yoshida (2022) Nature	2a498ace-872a-4935-984b-1afa70fd9886	89619149-162f-4839-8e97-24735924417c	https://cellxgene.cziscience.com/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present	Not present
2	Visium spatial data from liver of primary sclerosing cholangitis patient; sample PSC011_C1	Andrews (2024) Journal of Hepatology	fca00c4c-0b8a-4836-ab7b-6620123d2d4e	db5e1f7c-9136-4765-b2f4-508bede5c2df	https://cellxgene.cziscience.com/collections/0c8a364b-97b5-4cc8-a593-23c38c6f0ac5	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present
3	Stellate cells from human healthy donor liver samples	Andrews (2024) Journal of Hepatology	e347396c-a7ff-4691-9f7a-99a43555ca18	97106aff-7da4-478b-89c2-917b37260fed	https://cellxgene.cziscience.com/collections/0c8a364b-97b5-4cc8-a593-23c38c6f0ac5	100.0%	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present
4	Macrophage cells from human healthy donor liver samples	Andrews (2024) Journal of Hepatology	b550fd94-97e0-42e2-90f7-7434781ea2f8	9d117b36-6ad9-4bee-a86b-089228d5929d	https://cellxgene.cziscience.com/collections/0c8a364b-97b5-4cc8-a593-23c38c6f0ac5	100.0%	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present
5	Visium spatial data from liver of primary sclerosing cholangitis patient; sample PSC011_D1	Andrews (2024) Journal of Hepatology	a0805e92-3d1f-4866-af5c-5b903c6d910b	9f482a02-9e09-4e1c-821b-76ed6d7dd3e5	https://cellxgene.cziscience.com/collections/0c8a364b-97b5-4cc8-a593-23c38c6f0ac5	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present
6	Visium spatial data from human healthy liver donor; sample C73_A1	Andrews (2024) Journal of Hepatology	7f7e36ee-7432-4b70-b894-25d9989d43e8	ff6b02d5-4e3f-4c1f-9b1c-aa208c45fe95	https://cellxgene.cziscience.com/collections/0c8a364b-97b5-4cc8-a593-23c38c6f0ac5	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present
7	Visium spatial data from human healthy liver donor; sample C73_D1	Andrews (2024) Journal of Hepatology	7ca2e329-d91b-4e36-b4cc-663447ae437e	482e695e-e9c8-4890-a791-d4f2f0daeb97	https://cellxgene.cziscience.com/collections/0c8a364b-97b5-4cc8-a593-23c38c6f0ac5	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present
8	Visium spatial data from human healthy liver donor; sample C73_B1	Andrews (2024) Journal of Hepatology	7b814d77-810f-49e5-ae73-c3b644ea197f	4921d2a2-97c2-42ec-ac9a-957a17c67bcc	https://cellxgene.cziscience.com/collections/0c8a364b-97b5-4cc8-a593-23c38c6f0ac5	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present
9	Visium spatial data from liver of primary sclerosing cholangitis patient; sample PSC011_B1	Andrews (2024) Journal of Hepatology	7a90a1ce-4e66-44d0-b273-7c672de53b17	674ac28c-5dbc-40f1-ad39-d372c98f10bd	https://cellxgene.cziscience.com/collections/0c8a364b-97b5-4cc8-a593-23c38c6f0ac5	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present
10	Hepatocyte-2 cells from human healthy donor liver samples	Andrews (2024) Journal of Hepatology	76af615b-12fe-4ebb-b8c6-239ad29e26e3	7fccfb13-683b-44dc-a824-fe161f8dd4fb	https://cellxgene.cziscience.com/collections/0c8a364b-97b5-4cc8-a593-23c38c6f0ac5	100.0%	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present
11	Visium spatial data from human healthy liver donor; sample C73_C1	Andrews (2024) Journal of Hepatology	6d222287-cf5b-4eb5-86e3-c4e71adab844	878c7b62-8970-4f4c-93c4-8d81b7441cda	https://cellxgene.cziscience.com/collections/0c8a364b-97b5-4cc8-a593-23c38c6f0ac5	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present
12	Endothelial cells from human healthy donor liver samples	Andrews (2024) Journal of Hepatology	4ce8d8ec-b94c-4b79-afcb-b094336d8a78	cec57553-22b8-4351-ace0-7ca54608986b	https://cellxgene.cziscience.com/collections/0c8a364b-97b5-4cc8-a593-23c38c6f0ac5	100.0%	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present
13	B cells from human healthy donor liver samples	Andrews (2024) Journal of Hepatology	4993d61c-1d04-4630-9c61-8d9431f39adc	6f4ac274-f68d-45a3-aa34-3845db08eb37	https://cellxgene.cziscience.com/collections/0c8a364b-97b5-4cc8-a593-23c38c6f0ac5	100.0%	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present
14	Visium spatial data from liver of primary sclerosing cholangitis patient; sample PSC011_A1	Andrews (2024) Journal of Hepatology	43cd0dbc-4e6c-433f-b143-8e6367e17fed	af7dfa92-f18e-41eb-ac3e-c744f911b8d7	https://cellxgene.cziscience.com/collections/0c8a364b-97b5-4cc8-a593-23c38c6f0ac5	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present
15	Natural killer T cells from human healthy donor liver samples	Andrews (2024) Journal of Hepatology	43560d7c-acd6-4ede-830d-c9ffc6cd0862	89b54257-03ad-475c-b5e0-e5f1f7c55091	https://cellxgene.cziscience.com/collections/0c8a364b-97b5-4cc8-a593-23c38c6f0ac5	100.0%	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present
16	Hepatocyte-1 cells from human healthy donor liver samples	Andrews (2024) Journal of Hepatology	234c23d0-d6cd-4612-a40d-e5811727564b	cc93863a-8d8f-4911-8f68-8d700109a4a7	https://cellxgene.cziscience.com/collections/0c8a364b-97b5-4cc8-a593-23c38c6f0ac5	100.0%	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present
17	All cells types from snRNA-seq of human primary sclerosing cholangitis patients and healthy controls	Andrews (2024) Journal of Hepatology	1873a18a-66fd-4a4d-8277-a872c93f5b59	303e954f-33d7-473e-86f9-f96a18192bd2	https://cellxgene.cziscience.com/collections/0c8a364b-97b5-4cc8-a593-23c38c6f0ac5	100.0%	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present
18	Cholangiocytes from human healthy donor liver samples	Andrews (2024) Journal of Hepatology	0c9a8cfb-6649-4d52-b418-6d8e56bd7afe	7e6b54fc-0b5f-48c4-a244-9ca0a2b87db5	https://cellxgene.cziscience.com/collections/0c8a364b-97b5-4cc8-a593-23c38c6f0ac5	100.0%	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present
19	All cells types from scRNA-seq of human primary sclerosing cholangitis patients and healthy controls	Andrews (2024) Journal of Hepatology	02792605-4760-4023-82ad-40fc4458a5db	b09dac61-836f-418a-ad0a-064d2bc5343d	https://cellxgene.cziscience.com/collections/0c8a364b-97b5-4cc8-a593-23c38c6f0ac5	100.0%	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present
